PassengerId,Survived
75721,1
80184,0
19864,1
76699,1
92991,1
76434,0
84004,1
80917,1
60767,1
50074,1
27701,0
42141,1
45080,1
16638,1
20424,1
88702,1
149,0
1761,1
63120,0
69161,0
64883,1
2495,1
80296,0
19447,0
41331,0
14888,1
88636,1
94892,1
92731,0
29130,1
79022,0
84936,1
16821,1
36733,0
15602,1
28533,0
69769,1
11405,1
96852,0
16130,0
19792,0
89577,1
40163,0
31776,0
25330,1
79156,1
51685,0
75498,1
4727,0
85198,0
35795,0
12256,0
35718,1
70551,0
54374,1
39691,0
93702,1
73691,1
98070,1
575,1
84610,1
61769,1
32260,1
82199,0
36290,0
78449,1
60055,1
45948,0
28177,1
84463,1
578,0
30959,0
64290,0
14531,0
17933,1
33608,1
49959,1
66598,1
99089,0
34451,0
34080,0
63587,1
4293,1
69102,0
86411,0
99476,1
53929,0
87070,0
65083,1
30712,0
49182,0
57234,1
15663,1
19966,1
91912,0
91957,0
81346,1
55325,0
29857,0
71222,1
52458,1
88345,0
82363,1
65349,0
59649,0
44952,0
39525,0
13935,1
93780,1
89884,0
81143,1
95799,1
89404,1
55223,1
73645,0
66293,0
65539,0
28110,0
41928,1
86546,0
82585,1
38603,0
91657,0
62786,1
84340,1
39874,0
78468,1
31631,1
14952,0
39331,0
48587,0
83594,0
41487,1
39627,0
87894,0
26303,1
67403,0
98084,0
95601,0
5019,0
5223,0
15780,1
45556,0
12896,1
34304,0
93322,1
5324,1
52925,0
62864,0
8018,0
82944,1
90376,1
41720,0
866,0
98443,0
83039,0
13924,0
79892,0
31183,0
13799,1
40988,0
66733,0
78330,0
24378,1
23414,0
97559,1
22992,0
3231,1
41995,0
49187,0
22514,0
21325,0
86233,0
88126,0
29823,1
92484,0
68424,1
64483,0
51019,1
26753,0
49963,0
42731,1
29056,1
55317,0
35496,1
56337,1
79277,0
5464,1
70155,1
70669,0
56013,0
12085,0
56818,0
20000,0
69066,0
50452,0
90709,1
52884,1
30963,1
34573,1
15294,1
27918,0
46120,1
35073,0
10550,0
91127,0
690,1
77729,1
36096,0
65351,0
11040,0
4221,1
821,1
38128,0
89151,1
29231,1
50556,0
33684,1
58753,1
27022,1
36905,0
270,1
8866,1
15006,1
4688,1
81995,1
84372,0
2514,1
36399,1
38868,1
58244,0
30409,1
54794,1
19263,1
83909,1
26973,0
7129,0
7144,0
45465,0
1966,0
15152,1
19113,1
76206,1
32141,1
21934,0
40359,1
53841,0
9162,1
87843,0
37629,1
83304,0
66269,1
34653,0
41962,0
39590,0
81035,1
10980,0
56299,0
61548,0
88400,1
44323,0
55207,1
53527,1
26970,1
73217,0
65890,0
42221,0
97865,1
12250,0
69436,1
38432,1
40889,1
30998,0
56145,0
95413,1
22155,1
17613,0
56443,1
98399,0
24052,0
50242,0
58998,0
31344,0
61241,1
92529,1
80828,0
51725,0
33879,1
83006,1
73908,0
67246,1
88807,0
13121,1
8257,0
93380,0
13914,1
30902,1
72858,1
20292,0
58170,0
20949,1
36694,0
8525,0
78271,0
77402,1
77651,0
99836,0
92271,1
29775,0
34807,0
16885,1
49983,0
62614,0
14228,1
52176,0
8028,1
28921,0
69419,1
70811,0
34363,0
43203,0
36794,1
97026,0
63342,1
36955,0
69228,0
9423,1
86000,0
16958,1
21614,0
61461,1
61773,0
86801,1
67502,1
79370,0
34496,0
43008,0
91597,0
75438,0
29719,0
38606,0
77126,1
97087,0
24626,1
61814,0
69755,1
11930,1
16160,1
47439,1
34605,0
14106,1
90650,1
98434,0
17502,0
63485,0
33075,1
79808,0
90790,1
93364,0
18292,1
43849,1
35067,0
61392,1
27381,1
85413,1
13797,0
1728,1
66100,0
7677,0
73314,0
69695,1
5438,1
73380,1
34590,0
8452,0
6234,0
56579,1
44068,1
73661,0
18241,0
72559,1
11372,1
53067,0
54396,1
60743,1
4232,0
66149,0
226,0
38050,0
75830,0
11712,0
89798,0
84721,1
11650,0
63792,1
18331,1
59464,1
31838,1
35887,1
70557,1
68841,1
44299,0
39431,0
71757,0
51266,0
49808,1
86688,0
61004,0
60770,0
87,0
77203,1
51987,0
82149,0
43733,0
95181,0
88476,0
62005,0
30883,1
50766,1
74955,0
12750,0
36506,1
9937,1
18373,0
92220,0
90729,0
12396,1
94921,0
33801,0
1230,0
20334,1
78043,0
40350,1
50862,1
65409,1
98465,0
83942,1
35640,0
76609,0
1045,0
97795,1
5937,1
57687,0
7895,0
87484,1
17570,0
53064,1
11141,0
96936,1
50490,0
33222,0
82506,0
36296,0
67924,1
94404,0
84992,0
62122,1
65743,1
40246,0
16361,1
55938,1
28674,0
23957,0
7858,1
94212,0
63351,1
50198,0
55238,0
98340,0
13705,1
13579,1
34570,0
93621,1
2104,1
74360,0
85888,1
99906,1
56429,0
86502,0
12469,1
14778,0
27543,0
97976,1
46122,0
49368,1
1332,1
2360,0
82417,1
45148,0
7841,1
86290,0
36034,1
18145,1
70745,1
78803,0
94235,0
52490,1
88894,0
59268,0
19662,1
49825,0
1322,0
37623,1
20086,0
88365,1
92895,0
69587,1
26586,1
39878,0
75298,1
53978,1
49673,1
75961,0
25355,0
27733,1
18005,1
22672,1
50380,1
59038,1
43444,0
2280,0
77964,0
96125,1
77647,1
31431,0
31922,0
15808,0
85541,0
15495,0
77431,0
57936,1
18949,1
22583,0
6748,0
80573,1
53070,1
1402,0
37781,1
64679,0
79960,1
23787,0
30418,0
59034,1
20330,0
95652,1
883,0
41515,1
14038,0
44969,0
32865,0
79368,0
3253,1
2937,1
36838,0
25039,1
23394,1
81992,1
56293,1
1318,0
95284,0
32592,0
86253,1
79994,0
63780,1
37108,1
1349,0
4790,1
96594,1
87444,1
87607,1
84333,1
58134,0
18634,0
3393,1
72228,0
37587,0
11446,0
92168,1
33054,0
93268,0
59808,1
61577,0
49660,0
11060,1
1550,0
80750,0
4510,0
26438,1
86708,1
83003,1
80166,1
48078,1
16301,1
17494,0
85698,0
61705,0
49148,1
70172,0
96222,0
52412,1
97493,0
9093,1
6267,1
81823,0
40203,1
69325,1
57862,0
52991,0
89245,0
26873,0
62596,1
47745,0
40990,0
13928,1
94953,0
18742,1
1057,0
4337,0
34170,0
96505,0
2029,1
1430,1
35083,0
33931,0
55375,0
22824,1
73646,0
25269,1
64034,1
14805,1
60297,1
50078,0
31591,0
585,0
36904,1
21332,1
39456,1
12533,1
40815,1
68316,0
42917,0
5215,0
83012,1
40199,1
64273,0
88543,0
833,0
41272,1
79342,0
35015,0
66702,0
65643,0
18485,0
33333,0
13551,0
95260,0
17672,1
23145,0
61129,0
69840,1
96986,1
35753,0
33459,0
14268,0
22186,0
15022,1
11968,0
28565,0
25841,0
278,0
76182,1
6148,1
61296,0
77959,1
14149,1
47139,0
29517,1
10049,1
53345,1
75309,1
20612,1
34286,1
59396,1
38720,1
31120,0
46499,1
31418,0
1572,0
78056,0
53083,0
27805,1
96810,0
97649,0
15842,0
52852,0
50137,0
27537,1
11855,1
41093,0
40941,0
78212,0
70851,1
85906,1
70226,0
17247,0
91330,0
74411,1
13735,0
75533,0
19778,1
8093,1
92533,0
82192,1
67483,1
46677,1
74257,0
54568,0
61460,0
31021,0
2129,0
95184,0
11863,0
55042,1
14424,0
52150,0
9161,0
42665,0
7315,0
2180,0
67358,1
9600,1
35736,1
30464,0
10571,0
85766,0
6175,1
31196,0
77457,0
1221,0
74448,0
37037,0
16290,1
25452,0
33562,1
655,0
43383,0
64832,0
37691,1
50194,0
64797,1
34272,1
4050,0
87071,1
81772,0
70996,0
4367,0
56345,1
45917,0
46368,0
90889,1
5073,1
35990,0
10501,1
55929,0
11014,1
80127,0
40038,0
69575,1
8786,1
60718,0
55431,1
95340,0
19212,1
94481,0
41046,1
3789,0
90091,0
58116,0
22506,1
17919,1
96634,0
8569,0
88173,0
45794,1
73838,0
15460,1
8311,0
64111,0
9660,0
856,1
57419,0
40011,0
21177,1
85574,1
22153,0
66029,1
11468,1
65981,0
37237,0
72375,0
83142,1
20282,0
12387,1
29869,0
78788,1
69417,1
10899,1
22739,1
1414,1
30952,0
56834,1
38935,1
32200,0
68844,0
45691,0
72019,1
80647,0
20427,1
11895,1
4624,1
29505,1
12560,0
38942,1
69605,0
573,1
84865,1
51743,0
74336,1
86884,0
36238,1
50282,1
7748,0
45119,1
99911,0
73381,1
60893,1
76178,1
79843,0
86323,1
98517,1
76929,1
17961,1
64845,1
28286,1
16730,1
67702,1
81581,1
2742,0
91839,1
51276,0
10817,0
13413,1
4645,0
24830,1
51477,0
60476,1
9887,0
77006,0
80595,1
72761,1
97106,0
53569,0
15626,1
98422,0
38861,0
24547,0
78203,1
44524,1
928,1
30572,0
2174,0
63407,1
15466,0
21287,1
68791,1
64130,0
42630,1
48459,1
8285,0
56544,1
36137,1
73917,0
56097,0
25636,1
59975,1
63099,0
56512,0
68413,0
24263,0
60419,1
53042,0
92130,1
62660,0
24013,0
12042,1
49783,1
76814,1
15394,0
73796,0
50178,1
94484,0
114,1
60899,1
59780,1
62199,1
76633,0
37378,1
6729,1
5904,0
65966,0
14529,0
65585,0
7335,0
88467,1
38223,1
58174,1
89550,0
4162,0
38539,1
69509,1
33888,0
38621,1
96587,0
10618,0
38357,1
42505,0
32807,0
56780,1
40368,1
32386,1
17773,0
61121,0
17972,1
64304,0
69595,0
85582,0
14984,0
34606,0
9494,0
32071,0
5169,1
70609,0
11317,0
42990,1
79976,1
60106,1
67709,0
43942,1
44017,1
62412,1
